#{"t_start": 1778548220.961131, "env_id": "None"}
r,l,t
1809.0,39,8.324376
1754.0,39,8.341524
2106.0,39,8.359478
1690.0,39,8.3784
1658.0,39,8.39663
1576.0,39,8.413792
1723.0,39,8.43168
1748.0,39,8.449623
1842.0,39,8.466444
1756.0,39,8.484348
1764.0,39,8.502009
2037.0,39,8.519548
1565.0,39,8.537186
1556.0,39,8.554799
1504.0,39,8.572489
1581.0,39,8.590582
1646.0,39,8.608439
1999.0,39,8.625547
1768.0,39,8.64278
1525.0,39,8.65978
1498.0,39,8.676961
1589.0,39,8.694311
1722.0,39,8.71217
1829.0,39,8.730224
1396.0,39,8.748649
1242.0,39,8.766976
1251.0,39,8.784657
1526.0,39,8.80169
2147.0,39,8.820048
1492.0,39,8.837715
1587.0,39,8.855657
1692.0,39,8.874636
1554.0,39,8.893149
1530.0,39,8.910541
1752.0,39,8.927674
1521.0,39,8.944188
2084.0,39,8.963015
1880.0,39,8.980909
1785.0,39,8.998899
2439.0,39,9.017084
1422.0,39,9.034974
1618.0,39,9.053545
1950.0,39,9.072282
1933.0,39,9.089924
1316.0,39,9.107537
1410.0,39,9.125052
1754.0,39,9.142659
1950.0,39,9.160324
1143.0,39,9.17803
1756.0,39,9.196228
1724.0,39,9.214231
1790.0,39,9.231806
2140.0,39,9.24898
1762.0,39,9.26649
1395.0,39,9.284688
1785.0,39,9.302269
1304.0,39,9.319705
1621.0,39,9.337296
1426.0,39,9.355304
1710.0,39,9.372522
1863.0,39,9.389221
1933.0,39,9.406318
1674.0,39,9.424101
1897.0,39,9.441837
1774.0,39,9.459904
1578.0,39,9.478094
1640.0,39,9.496181
